,ru,en
NAME_OF_THE_GAME,Уклонись!,Dodge!
START_GAME,Начать игру,Start game
SCORE,Счет: ,Score: 
MAX_SCORE,Рекорд:,Highscore:
GAME_OVER,Игра окончена,Game over
RESTART,Начать заново,Restart
CONTINUE,Продолжить(смотреть рекламу),Continue(watch ad)
NEW_HIGHSCORE,НОВЫЙ РЕКОРД!,NEW HIGHSCORE!
BUY_SWORD,Купить меч: 1000,Buy sword: 1000
CHANGE_WEAPON,Сменить оружие на: ,Change weapon to: 
SWORD,Меч,Sword
BLASTER,Бластер,Blaster
COSMETICS,Украшения,Cosmetics
MONEY,Деньги: ,Money: 
COSMETICS_CLOSE,Закрыть украшения,Close cosmetics
BOUGHT,Куплен,Bought
CHOSEN,Выбран,Chosen